paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
cf,BASE,113,3006099,1,18,Li6TiO5,"('Li', 'O', 'Ti')",0.5971901158701106,1.2950827027726937,P1,1,12,2.2610987943645373,Li6TiO5,False
cf,BASE,113,3006099,2,6,Li5V2Cr2O9,"('Cr', 'Li', 'O', 'V')",0.3969128233765039,0.9445974409088819,P1,1,18,3.8786651037200417,Li5V2Cr2O9,False
cf,BASE,113,3006099,3,15,Li2Cu,"('Cu', 'Li')",0.3550443027968057,0.87132752989441,P-1,2,3,3.0361318183223722,Li2Cu,False
adit,BASE,113,3006101,1,11,NaMgPO4F,"('F', 'Mg', 'Na', 'O', 'P')",0.3963916262678731,0.943685345968778,P-1,2,16,2.6685613284159575,NaMgPO4F,False
adit,BASE,113,3006101,2,14,Li2AlNi3O8,"('Al', 'Li', 'Ni', 'O')",0.2816193286422352,0.7428338251239116,C2,5,14,4.239348472474221,Li2AlNi3O8,False
adit,BASE,113,3006101,3,3,K3NaMnCl6,"('Cl', 'K', 'Mn', 'Na')",0.2297942634730748,0.6521399610778809,P1,1,11,1.8917378113826822,K3NaMnCl6,False
adit,ACC,113,3006102,1,4,Li5V3O8,"('Li', 'O', 'V')",0.4280385244709201,0.9990674178241102,C2/m,12,16,3.614794344071776,Li5V3O8,False
adit,ACC,113,3006102,2,9,CaZr2TiF11,"('Ca', 'F', 'Ti', 'Zr')",0.2523788967693944,0.6916630693464402,P1,1,15,3.4140979360743704,CaZr2TiF11,False
adit,ACC,113,3006102,3,17,Sc5MnS8,"('Mn', 'S', 'Sc')",0.19958805122532,0.59927908964431,Cm,8,14,3.15898748736619,Sc5MnS8,False
adit,ACC,7,3006192,1,11,Li5V3O8,"('Li', 'O', 'V')",0.4160198040527514,0.978034657092315,P1,1,16,3.6571868033645676,Li5V3O8,False
adit,ACC,7,3006192,2,4,FePO4F,"('F', 'Fe', 'O', 'P')",0.298527643202859,0.7724233756050033,P-1,2,14,3.0764166126684116,FePO4F,False
adit,ACC,7,3006192,3,8,FeHO2,"('Fe', 'H', 'O')",0.2792105151018419,0.7386184014282233,P1,1,16,3.785094887902755,FeHO2,False
cf,ACC,23,3006193,1,0,NaLi2,"('Li', 'Na')",0.9563847906761972,1.923673383683345,P2_1/m,11,6,0.7977346436305298,NaLi2,False
cf,ACC,23,3006193,2,11,Li5Ag,"('Ag', 'Li')",0.411907108586249,0.9708374400259357,P-1,2,6,2.1116968106488003,Li5Ag,False
cf,ACC,23,3006193,3,0,Mg5Sc,"('Mg', 'Sc')",0.3525560585594257,0.866973102478995,P3m1,156,6,1.9831803086485182,Mg5Sc,False
adit,BASE,23,3006194,1,2,Na3CuO2,"('Cu', 'Na', 'O')",0.3165372868101673,0.8039402519177927,P1,1,12,2.447409008779143,Na3CuO2,False
adit,BASE,23,3006194,2,17,Ca2V3FeO8,"('Ca', 'Fe', 'O', 'V')",0.2552864710731225,0.6967513243779644,P1,1,14,3.895105233706542,Ca2V3FeO8,False
adit,BASE,23,3006194,3,19,SrCaMnFeO6,"('Ca', 'Fe', 'Mn', 'O', 'Sr')",0.2248284649823632,0.6434498137191356,P-1,2,20,4.815583858634981,SrCaMnFeO6,False
cf,ACC,113,3006475,1,3,Ca3Mg2Cd,"('Ca', 'Cd', 'Mg')",0.1530005301844057,0.5177509278227099,P1,1,6,2.5159961915431457,Ca3Mg2Cd,False
cf,ACC,113,3006475,2,4,KBaF3,"('Ba', 'F', 'K')",0.1458660492995305,0.5052655862741784,C2,5,10,3.328207688386467,KBaF3,False
cf,ACC,113,3006475,3,15,Rb2NaYCl6,"('Cl', 'Na', 'Rb', 'Y')",0.1352912218224929,0.4867596381893626,P1,1,10,2.3059925084105095,Rb2NaYCl6,False
