paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
adit,ACC,23,3006096,1,5,FeRe(PW)2,"('Fe', 'P', 'Re', 'W')",0.7309327029044022,297.7544271036728,Pmc2_1,26,12,14.029633810302398,FeRe(PW)2,False
adit,ACC,23,3006096,2,16,FeCoN,"('Co', 'Fe', 'N')",0.6259374450370978,257.8562291140972,P31m,157,9,7.770453126581991,FeCoN,False
adit,ACC,23,3006096,3,1,TaCo2,"('Co', 'Ta')",0.6191063289525154,255.26040500195586,C2,5,6,12.984083721258447,TaCo2,True
mg,BASE,113,3006103,1,10,Hf3TaN4,"('Hf', 'N', 'Ta')",0.7276267009074895,296.498146344846,Cmmm,65,8,13.998917221118319,Hf3TaN4,False
mg,BASE,113,3006103,2,3,VIr,"('Ir', 'V')",0.6818914904797352,279.1187663822994,P2,3,16,14.418580365398824,VIr,True
mg,BASE,113,3006103,3,17,IrO2,"('Ir', 'O')",0.6551644039752915,268.9624735106108,Pbcn,60,12,11.406685041248421,IrO2,False
mg,ACC,113,3006104,1,16,Os5W3,"('Os', 'W')",0.8410222914474295,339.5884707500232,Cmmm,65,8,20.6116411708521,Os5W3,False
mg,ACC,113,3006104,2,19,ReOs2Pt3,"('Os', 'Pt', 'Re')",0.761959272316004,309.5445234800815,P4mm,99,6,21.119874462487342,ReOs2Pt3,False
mg,ACC,113,3006104,3,8,Ti7V2N9,"('N', 'Ti', 'V')",0.7445294531561187,302.9211921993251,P-1,2,18,5.506577788117668,Ti7V2N9,False
cf,BASE,113,3006105,1,8,Fe7Ni,"('Fe', 'Ni')",0.540309765529233,225.31771090110857,Cmmm,65,8,8.004603845736282,Fe7Ni,False
cf,BASE,113,3006105,2,3,InPt4Rh3,"('In', 'Pt', 'Rh')",0.5225283108346511,218.56075811716744,Amm2,38,8,15.943269407445769,InPt4Rh3,False
cf,BASE,113,3006105,3,9,LiIrO3,"('Ir', 'Li', 'O')",0.4861735790818151,204.74596005108972,R3c,161,10,8.307268891086148,LiIrO3,False
cf,ACC,113,3006106,1,2,ReIr2Rh5,"('Ir', 'Re', 'Rh')",0.7163230827682574,292.2027714519378,C2,5,8,15.632087341702958,ReIr2Rh5,False
cf,ACC,113,3006106,2,10,HfTi6C5,"('C', 'Hf', 'Ti')",0.498676866177493,209.49720914744734,Immm,71,12,5.853078638923702,HfTi6C5,False
cf,ACC,113,3006106,3,13,Hf2TaW3,"('Hf', 'Ta', 'W')",0.4688786918283065,198.17390289475648,R-3m,166,6,15.996280033570818,Hf2TaW3,False
adit,BASE,113,3006107,1,18,Fe6NiRh3,"('Fe', 'Ni', 'Rh')",0.5316482455450894,222.02633330713397,P4mm,99,10,8.955269047800671,Fe6NiRh3,False
adit,BASE,113,3006107,2,19,Li4V(WO4)3,"('Li', 'O', 'V', 'W')",0.4966441306921965,208.72476966303466,P1,1,20,6.413814449223727,Li4V(WO4)3,False
adit,BASE,113,3006107,3,8,GeAsRh4,"('As', 'Ge', 'Rh')",0.4924980036206706,207.1492413758548,P2_1/m,11,12,10.633901079818633,GeAsRh4,False
adit,ACC,113,3006108,1,15,TaNO,"('N', 'O', 'Ta')",0.6497190328391665,266.8932324788833,Pca2_1,29,12,9.808101295792612,TaNO,False
adit,ACC,113,3006108,2,8,MnFe3Co,"('Co', 'Fe', 'Mn')",0.6042056781015582,249.59815767859212,Fmm2,42,5,8.201362339872764,MnFe3Co,False
adit,ACC,113,3006108,3,0,Ti2CO,"('C', 'O', 'Ti')",0.5714202302020714,237.13968747678715,R-3m,166,4,5.0314272574602725,Ti2CO,False
cf,BASE,23,3006476,1,4,Nb3C2,"('C', 'Nb')",0.6022848322092574,248.8682362395178,P-3m1,164,5,7.620439208111142,Nb3C2,False
cf,BASE,23,3006476,2,2,FeMo3OsRh3,"('Fe', 'Mo', 'Os', 'Rh')",0.5895438813180706,244.02667490086682,Pm,6,8,12.040543664376418,FeMo3OsRh3,False
cf,BASE,23,3006476,3,17,MgTi2N3,"('Mg', 'N', 'Ti')",0.589454020694663,243.99252786397196,I4/mmm,139,6,4.612056898544084,MgTi2N3,False
