number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_bags,params_n_estimators,params_neg_sample_ratio,params_reg_alpha,params_reg_lambda,params_subsample,state
30,0.9128545312043773,2026-05-29 16:10:03.268244,2026-05-29 16:11:03.256381,0 days 00:00:59.988137,0.6019341328759342,0.23957246977428825,10,11,75,1.8614140439915348,0.6946125911985561,1.643858713840117,0.9114672580483995,COMPLETE
31,0.9152742382234287,2026-05-29 16:11:03.256695,2026-05-29 16:12:38.870700,0 days 00:01:35.614005,0.8230080488698222,0.18565732718447553,10,15,125,1.0690487730119986,0.5467102887399512,1.4177826832530487,0.8560492606744246,COMPLETE
32,0.9185242475859041,2026-05-29 16:12:38.871051,2026-05-29 16:16:47.238855,0 days 00:04:08.367804,0.8564021991198862,0.23648782790207715,9,19,300,1.0771389113412135,0.5100841463461567,1.2544315533948305,0.8162677862607135,COMPLETE
33,0.9191259583079969,2026-05-29 16:16:47.350051,2026-05-29 16:21:32.071858,0 days 00:04:44.721807,0.8891051716420092,0.26442155071503654,9,19,300,1.4991190282813132,0.4658751137278585,1.3109201053759834,0.7487188248894503,COMPLETE
34,0.9183525185652058,2026-05-29 16:21:32.072493,2026-05-29 16:24:40.427963,0 days 00:03:08.355470,0.9092944476336222,0.25815278342908143,8,19,275,1.529731309948006,0.30724677187861904,1.2834292288508873,0.7493036668825779,COMPLETE
35,0.9180475816412113,2026-05-29 16:24:40.478485,2026-05-29 16:27:59.963513,0 days 00:03:19.485028,0.9407179928069633,0.25329289811971173,8,19,300,1.5342165965080927,0.25455391609889805,1.2552134087989393,0.66480527488697,COMPLETE
36,0.9160499613935433,2026-05-29 16:27:59.964770,2026-05-29 16:31:12.354591,0 days 00:03:12.389821,0.9494615045625076,0.13573101159950776,8,19,300,1.4989120605775232,0.28041092270915313,1.2287137579074185,0.6564806671855788,COMPLETE
37,0.9160997502770123,2026-05-29 16:31:12.354984,2026-05-29 16:34:22.977674,0 days 00:03:10.622690,0.906946914318855,0.1553207159912552,8,17,275,1.7739556748184824,0.34453253353187285,1.285144227371685,0.7506916921824535,COMPLETE
38,0.9162761996369275,2026-05-29 16:34:22.977972,2026-05-29 16:36:30.512250,0 days 00:02:07.534278,0.946154335745843,0.25006208952255693,7,19,275,1.5889380777781037,0.20828410300053665,1.0706952334283844,0.6734263359701976,COMPLETE
39,0.9156940207802338,2026-05-29 16:36:30.512840,2026-05-29 16:38:46.509715,0 days 00:02:15.996875,0.8804484159644025,0.24279067017602857,7,17,275,1.7811158048300462,0.21860971245983885,0.9092373149262064,0.6023943569933361,COMPLETE
