model,descriptor,property,pca,R2,Spearman
dgp,soap,G_Voigt,25,0.1641829151025296,0.5615228831755821
dgp,soap,G_Voigt,50,0.0776369722784566,0.1733237317894725
dgp,soap,G_VRH,10,0.1208556010021229,0.4668376217337712
dgp,soap,G_VRH,25,0.14887936115223,0.5621864217316298
dgp,soap,G_VRH,50,0.0276004021463426,0.1392944040051078
dgp,soap,G_Reuss,10,0.092275408570792,0.4429901140779403
dgp,soap,G_Reuss,25,0.1310334644537998,0.542282558118958
dgp,soap,G_Reuss,50,0.0492773473435075,0.1556851851548929
dgp,soap,elastic_anisotropy,10,-0.0100360676025366,0.1715305401217884
dgp,soap,elastic_anisotropy,25,-0.0108224736280362,0.1527800990183375
dgp,soap,elastic_anisotropy,50,-0.0044951659707014,0.0829389468211776
dgp,soap,poisson_ratio,10,0.1040324629645914,0.385354267807169
dgp,soap,poisson_ratio,25,0.1353068176786886,0.44033885117633
dgp,soap,poisson_ratio,50,-0.0173329888738586,-0.0048215206379332
dgp,uma,K_Voigt,10,0.3854041673294927,0.6238800864823003
dgp,uma,K_Voigt,25,0.7938272949666555,0.8917640316253145
dgp,uma,K_Voigt,50,0.2968127197264544,0.3544763066662721
dgp,uma,K_VRH,10,0.3840252067594097,0.6141038153422361
dgp,uma,K_VRH,25,0.7795723772149599,0.8815728934884431
dgp,uma,K_VRH,50,0.28662941876938,0.3434463455369105
dgp,uma,K_Reuss,10,0.3477160845993038,0.6012548350366036
dgp,uma,K_Reuss,25,0.7552164547951026,0.8690891773251488
dgp,uma,K_Reuss,50,0.2660771177511925,0.3279901401017427
dgp,uma,G_Voigt,10,0.2927850566618059,0.6023256892255361
dgp,uma,G_Voigt,25,0.695899521919813,0.8508827110199503
dgp,uma,G_Voigt,50,0.2863879401809461,0.3296902409105178
dgp,uma,G_VRH,10,0.2762718183098597,0.6063149120997744
dgp,uma,G_VRH,25,0.6800437060015307,0.841613098032556
dgp,uma,G_VRH,50,0.2643943372486173,0.3441362410000397
dgp,uma,G_Reuss,10,0.2721165410720168,0.5821823977082399
dgp,uma,G_Reuss,25,0.6440575003180777,0.8099892439906953
dgp,uma,G_Reuss,50,0.2405430086209606,0.3147406014294057
dgp,uma,elastic_anisotropy,10,-0.0083332339259794,0.2588897175198038
dgp,uma,elastic_anisotropy,25,-0.0062356116209281,0.1971888910187099
dgp,uma,elastic_anisotropy,50,-0.0038336166734552,0.0825992573847744
dgp,uma,poisson_ratio,10,0.1050298918374798,0.4226964171324404
dgp,uma,poisson_ratio,25,0.3353920403706005,0.5632836316746068
dgp,uma,poisson_ratio,50,0.0672836463601937,0.1390921589735962
